Product;Application-Areas;SubDomain;Domain;Company
Texapon® LS 30; Commercial Laundry;I&I;Home care and I&I;BASF
Tinogard® TL; Commercial Laundry;I&I;Home care and I&I;BASF
Tinogard® TT; Commercial Laundry;I&I;Home care and I&I;BASF
Trilon® M Granules SG; Commercial Laundry;I&I;Home care and I&I;BASF
Trilon® M Liquid; Commercial Laundry;I&I;Home care and I&I;BASF
Trilon® M Max BioBased L; Commercial Laundry;I&I;Home care and I&I;BASF
Cibafast® HA Liquid; Commercial Laundry;I&I;Home care and I&I;BASF
Glucopon® 215 UP; Commercial Laundry;I&I;Home care and I&I;BASF
Glucopon® 50 G; Commercial Laundry;I&I;Home care and I&I;BASF
Glucopon® 600 CSUP; Commercial Laundry;I&I;Home care and I&I;BASF
Glucopon® 650 EC; Commercial Laundry;I&I;Home care and I&I;BASF
Lutensol® XL 100; Commercial Laundry;I&I;Home care and I&I;BASF
Lutensol® XL 40; Commercial Laundry;I&I;Home care and I&I;BASF
Lutensol® XL 50; Commercial Laundry;I&I;Home care and I&I;BASF
Lutensol® XL 70; Commercial Laundry;I&I;Home care and I&I;BASF
Lutensol® XL 80; Commercial Laundry;I&I;Home care and I&I;BASF
Lutensol® XL 90; Commercial Laundry;I&I;Home care and I&I;BASF
Lutensol® XP 100; Commercial Laundry;I&I;Home care and I&I;BASF
Lutensol® XP 30; Commercial Laundry;I&I;Home care and I&I;BASF
Lutensol® XP 50; Commercial Laundry;I&I;Home care and I&I;BASF
Lutensol® XP 80; Commercial Laundry;I&I;Home care and I&I;BASF
Lutensol® XP 90; Commercial Laundry;I&I;Home care and I&I;BASF
Sokalan® PA 25 CL Granules; Commercial Laundry;I&I;Home care and I&I;BASF
Sokalan® PA 30 CL; Commercial Laundry;I&I;Home care and I&I;BASF
Texapon® 842 UP; Commercial Laundry;I&I;Home care and I&I;BASF
Texapon® K 30 UP; Commercial Laundry;I&I;Home care and I&I;BASF
Texapon® N 70; Commercial Laundry;I&I;Home care and I&I;BASF
Texapon® NSO UP; Commercial Laundry;I&I;Home care and I&I;BASF
Tinogard® Q; Commercial Laundry;I&I;Home care and I&I;BASF
Tinogard® TS; Commercial Laundry;I&I;Home care and I&I;BASF
Tinosan® HP 100; Commercial Laundry;I&I;Home care and I&I;BASF
Trilon® M Powder; Commercial Laundry;I&I;Home care and I&I;BASF
Degressal® SD 40; Food and Beverage Processing;I&I;Home care and I&I;BASF
Dehydol® LS 6/MB; Food and Beverage Processing;I&I;Home care and I&I;BASF
Dehydol® LT 6; Food and Beverage Processing;I&I;Home care and I&I;BASF
Dehypon® 2574; Food and Beverage Processing;I&I;Home care and I&I;BASF
Dehypon® 2574/MB; Food and Beverage Processing;I&I;Home care and I&I;BASF
Dehypon® GRA; Food and Beverage Processing;I&I;Home care and I&I;BASF
Dehypon® LS 24; Food and Beverage Processing;I&I;Home care and I&I;BASF
Dehypon® LS 24/MB; Food and Beverage Processing;I&I;Home care and I&I;BASF
Dehypon® LS 45; Food and Beverage Processing;I&I;Home care and I&I;BASF
Dehypon® LS 45/MB; Food and Beverage Processing;I&I;Home care and I&I;BASF
